Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
,"Eine 81-jährige Patientin stellt sich mit dem Wunsch nach Rückverlagerung ihres Stomas vor, das im linken Unterbauch ausgeleitet ist. Dieses war vor knapp 9 Monaten bei 4-Quadranten-Peritonitis auf dem Boden einer perforierten Sigmadivertikulitis angelegt worden, die die Exstirpation des Colon sigmoideum erforderlich machte. Im Rahmen der Operation erfolgte damals eine Diskontinuitätsresektion nach Hartmann.  Um welches Stoma handelt es sich am wahrscheinlichsten?",0) doppelläufiges Ileostoma,1) doppelläufiges Transversostoma,2) endständiges Deszendostoma,3) endständiges Ileostoma,4) Ileum-Conduit,2
,"Eine 17-jährige sehr sportliche Jugendliche hat neben ihrem regelmäßigen Leistungssport (Basketball, 4 x 2 Stunden Training pro Woche) in 1⁄2 Jahr 8 kg Gewicht abgenommen, von 60 auf 52 kg. Bei einer Körpergröße von 178 cm ist ihr Body-Mass-Index damit von 18,9 auf 16,4 kg/m2 gesunken.  Nach der zur Abklärung körperlicher Ursachen eingeleiteten Klinikaufnahme gibt sie an, gezielt weniger gegessen zu haben, um schlanker zu werden und ihre Schnelligkeit zu steigern. Das Essen fester Nahrung falle ihr inzwischen sehr schwer.  Differenzialdiagnostisch steht eine Anorexia nervosa an erster Stelle. Für die ersten Behandlungstage wird der Ernährungsplan aufgestellt und im Gespräch mit der Patientin festgelegt.  Welche der folgenden Vorgehensweisen zur Ernährung der Patientin ist am ehesten anzuraten?",0) ZVK-Anlage und voll parenterale Ernährung,1) Legen einer PEG und Ernährung über diese,2) peripher-venöser Tropf und Gabe von 2 L Glukose-5%-Elektrolyt-Lösung,3) orale Kost,4) Ernährung über nasogastrale Magensonde,3
,"Der bis dato gesunde 12-jährige Leo wird Ihnen in Ihrer Praxis vorgestellt, da er seit 2 Monaten unter fast täglich auftretenden Hautausschlägen am ganzen Körper leidet: Diese jucken extrem, und sie sind quaddelig, wie man Ihnen auf Handyfotos demonstriert.  Die Mutter verabreicht Leo dann immer das im Haushalt vorhandene Cetirizin, woraufhin die Ausschläge und der Juckreiz vorübergehend verschwinden, allerdings nur, wenn sie die doppelte der auf dem Beipackzettel empfohlenen Dosis gibt.  Auf Nachfrage gibt die Mutter an, dass sich die Hautveränderungen auch spontan nach höchstens 12 Stunden jeweils vollständig zurückbilden.  Einen die Symptomatik triggernden Faktor konnte die Familie bislang nicht identifizieren. Aktuell bei der Vorstellung ist Leos Haut unauffällig.  Welche der folgenden Diagnosen ist am ehesten zu stellen?",0) chronische Urtikaria,1) Dermatitis herpetiformis Duhring,2) Erythema exsudativum multiforme,3) Pityriasis rosea,4) Skabies,0
,"Ein 16-jähriger, bislang gesunder Junge wird erstmalig in einer Klinikambulanz vorgestellt, weil er über das zeitweilige Sehen von Doppelbildern und ein Absinken der Augenlider klagt, wobei die Beschwerden seit mindestens 2 Wochen v. a. nach längerem Lesen aufträten. Er berichtet auch über eine etwas verminderte Ausdauer beim Sport.  Welche der folgenden diagnostischen Einschätzungen ist diesbezüglich zunächst am ehesten angemessen?",0) Der Junge simuliert mit hoher Wahrscheinlichkeit.,1) Die Symptomatik ist verdächtig auf eine Myasthenia gravis.,2) Der Junge hat vermutlich Drogen konsumiert.,3) Es handelt sich um die typische Symptomatik eines klassischen Guillain-Barré-Syndroms.,4) Es liegt aller Wahrscheinlichkeit nach eine zentralnervöse Störung vor.,1
,"Eine 35-jährige stillende Frau hat 10 Tage post partum eine fieberhafte linksseitige Mastitis puerperalis (Temp. 38,6 °C) entwickelt.  Die am Vortag ergriffenen konservativen Maßnahmen (u. a. Kühlung, Abpumpen der Milch) haben zu keiner Besserung des Beschwerdebilds geführt, Hinweise auf eine Abszedierung bestehen nicht.  Die Mastitis soll nun mit einem antibakteriellen Arzneistoff behandelt werden.  Welcher der genannten Erreger ist bei der Mastitis puerperalis am häufigsten nachzuweisen?",0) Streptococcus pyogenes,1) Streptococcus viridans,2) Staphylococcus epidermidis,3) Staphylococcus aureus,4) Proteus mirabilis,3
,Ein 31-jähriger Friseur stellt sich wegen belastungsabhängiger Muskelkrämpfe des Schultergürtels vor.  Vorbekannt ist eine seit mehreren Jahren bestehende Gynäkomastie.  Bei der neurologischen Untersuchung zeigen sich leichte Paresen der proximalen Extremitätenmuskeln mit vereinzelten Faszikulationen. Myokymien fallen im Bereich der perioralen Muskulatur auf.  Welche Diagnose ist in erster Linie zu stellen?,0) amyotrophe Lateralsklerose,1) spinobulbäre Muskelatrophie,2) myotone Muskeldystrophie,3) Polymyositis,4) fazioskapulohumerale Muskeldystrophie,1
,"Eine 32-jährige Patientin hat unter leitliniengerechter Therapie ihrer seit 1 Jahr bestehenden Multiplen Sklerose fortbestehende Einschränkungen bei alltäglichen Tätigkeiten und bei der Arbeit in der Filiale einer großen Drogeriemarktkette.  Sie befürchtet eine Kündigung und fragt bei einer hausärztlichen Kontrolluntersuchung nach der erforderlichen Höhe eines Grads der Behinderung (GdB) für die Verminderung des Kündigungsrisikos und verbesserte Chancen einer erfolgreichen Bewerbung, falls sie einen neuen Arbeitsplatz suchen muss.  Welches ist der niedrigste Grad der Behinderung, ab dem Ansprüche bezüglich des Arbeitsverhältnisses entsprechend dem von Personen mit Schwerbehinderung geltend gemacht werden können?",0) GdB von 10,1) GdB von 20,2) GdB von 30,3) GdB von 40,4) GdB von 50,2
,"Als niedergelassener Hausarzt stellen Sie am Körper eines 8-jährigen Mädchens, das sehr zurückhaltend ist, im Rahmen einer Untersuchung wegen uncharakteristischer Bauchbeschwerden, ein Hämatom fest.  Welche der folgenden Körperregionen spräche, falls betroffen, am ehesten für eine Beibringung durch dritte Hand im Sinne einer Kindesmisshandlung?",0) Oberschenkelrückseite,1) Schienbeinvorderkante,2) Handgelenkbeugeseite,3) Ellenbogenspitze,4) Stirn,0
,"Ein Assistenzarzt in einer Notfallaufnahme beobachtet, wie sich ein 27-jähriger PJ-Student bei einer Blutentnahme bei Herrn A. eine Nadelstichverletzung mit einer kontaminierten Butterfly-Kanüle zuzieht.  Der PJ-Student hat keine bekannten Erkrankungen und ist vollständig nach den aktuellen STIKO-Empfehlungen geimpft.  Bezüglich des Infektionsstatus des Patienten A. ist nur bekannt, dass dieser trotz langjährigen i.v. Drogenkonsums 6 Monate zuvor auf HIV negativ getestet wurde.  Hinsichtlich welches der im Folgenden genannten Viren ist im Allgemeinen das Risiko für eine Übertragung durch Nadelstichverletzung im Mittel am größten, vorausgesetzt, eine entsprechende Infektion liegt bei dem Index-Patienten vor?",0) Hepatitis-A-Virus,1) HIV,2) Hepatitis-B-Virus,3) Zytomegalievirus,4) Hepatitis-C-Virus,2
,"Ein korpulenter 55-jähriger Mann stellt sich in einer Praxis für Urologie mit Überweisung vom Hausarzt vor. Er berichtet über eine zunehmende erektile Dysfunktion, sodass im vergangenen Jahr kein befriedigender Geschlechtsverkehr mehr möglich gewesen sei. Seine Libido habe ebenfalls nachgelassen. Auch berichtet er über die negativen Auswirkungen dieser Beschwerden auf eine ansonsten intakte Beziehung.  Als bekannte Nebenerkrankungen kann er nur eine langjährige arterielle Hypertonie nennen, was auch auf der Überweisung des Hausarztes steht. Voroperationen sind nur am Kniegelenk erfolgt.  Der Patient bittet um Rat und nach Möglichkeit um eine schnelle therapeutische Hilfe.  Als PJ-Studierende(r) erheben Sie die Medikamentenanamnese des Patienten.  Welcher der folgenden antihypertensiv wirkenden Arzneistoffe käme als (Teil‑)Ursache der erektilen Dysfunktion am ehesten infrage?",0) Candesartan,1) Captopril,2) Carvedilol,3) Furosemid,4) Urapidil,2
,"Ein 19-Jähriger besucht mit seinen 3 Freunden ein Thermalbad und hält sich in der Sauna, im Outdoor-Whirlpool und im Außenschwimmbecken auf.  5 Tage später klagt er über einen akuten fiebrigen Infekt mit Anzeichen einer Lungenentzündung, Kopf- und Gliederschmerzen und einem trockenen Husten. Außerdem ist er zeitweise etwas verwirrt und klagt über Durchfälle. Seine Freunde (Kontaktpersonen) zeigen zunächst keine Symptome.  Welcher der folgenden Erreger liegt der beschriebenen Symptomatik unter Berücksichtigung des Aufenthaltsortes am ehesten zugrunde?",0) Haemophilus influenzae Typ b,1) Staphylococcus aureus,2) Mycoplasma pneumoniae,3) Chlamydophila pneumoniae,4) Legionella pneumophila,4
,"Bei einer 67-jährigen pensionierten Studienrätin wird seit einigen Monaten ein idiopathisches Parkinson-Syndrom medikamentös behandelt. Die Patientin erhält Pramipexol, L-Dopa und Benserazid, Rasagilin und Melatonin zur Nacht.  Sie kommt in Begleitung ihrer Tochter in die Sprechstunde. Die Tochter berichtet, dass – im Unterschied zu früher – ihre Mutter bei sich zuhause die ganze Zeit mit Freude putze und ständig alles neu anordne und sortiere. Das sei für ihre Mutter völlig atypisch und früher undenkbar gewesen. Es bestehe kein Leidensdruck.  Wie ist diese Symptomatik in erster Linie einzuordnen?  Als",0) Punding,1) Zwangsstörung,2) manische Störung,3) Persönlichkeitsstörung,4) Störung des Sozialverhaltens,0
,Während einer Allgemeinanästhesie treten bei Ihrem ansonsten gesunden Patienten Herrn F. (ASA1) eine Urtikaria und ein Bronchospasmus auf.  Sie diagnostizieren eine allergische Reaktion.  Welche der nachfolgend genannten Medikamentengruppen hat statistisch das höchste allergene Potenzial?,0) Ringer-Laktatlösung als kristalloides Volumenersatzmittel,1) Gelatinelösung als kolloidales Volumenersatzmittel,2) Sufentanil als Opioid,3) Propofol als Hypnotikum,4) Granisetron als Antiemetikum,1
,"Eine 83-jährige Patientin sucht Sie in Ihrer Sprechstunde zur Beratung auf.  Sie war früher in einer Firma tätig, die Brandschutzmaterialien hergestellt hat, und in diesem Rahmen mit dem händischen Zuschneiden von Asbestmatten beschäftigt. Es habe dabei viel gestaubt, Arbeitsschutzmaßnahmen habe es damals nicht gegeben.  Ihre Gynäkologin habe nun einen bösartigen Tumor bei ihr festgestellt.  Es stellt sich die Frage nach einem Zusammenhang der früheren beruflichen Tätigkeit mit der nun diagnostizierten malignen Erkrankung.  Welche der folgenden Erkrankungen kann durch Asbest verursacht und bei entsprechender beruflicher Exposition als asbestbedingte Berufskrankheit am ehesten anerkannt werden?",0) Mammakarzinom,1) Ovarialkarzinom,2) Endometriumkarzinom,3) Zervixkarzinom,4) Vulvakarzinom,1
,"Eine 29-jährige Frau ohne wesentliche Vorerkrankungen ist im 1. Trimenon schwanger (Woche 10+2). Seit etwa 3 Wochen bestehen deutliche Übelkeit, Unwohlsein und häufiges Erbrechen.  Durch den Gynäkologen wird die Diagnose einer Hyperemesis gravidarum gestellt und eine Laboruntersuchung veranlasst. Es zeigen sich unter anderem folgende Ergebnisse (Referenzbereiche in Klammern):  TSH	< 0,01 mU/L	(0,27-4,2 mU/L) freies T3 (fT3)	7,16 ng/L	(2,0-4,4 ng/L) freies T4 (fT4)	3,19 ng/dL	(0,9-1,7 ng/dL)  Welche der folgenden Schilddrüsenerkrankungen liegt bei dieser Patientin a priori (d. h. ohne Kenntnis weiterer Untersuchungsbefunde) am wahrscheinlichsten vor?",0) M. Basedow mit Hyperthyreose,1) β-HCG-induzierte Hyperthyreose der Schwangerschaft,2) autonomes Adenom (funktionelle Autonomie) der Schilddrüse,3) Hyperthyreose infolge einer akuten Autoimmunthyreoiditis,4) subakute Thyreoiditis (de Quervain) mit florider Hyperthyreose,1
,"Herr M., ein 22-jähiger Jurastudent, stellt sich in Ihrer hausärztlichen Praxis vor und berichtet, sich seit ca. 5 Monaten müde und abgeschlagen zu fühlen. Seiner Freundin sei aufgefallen, dass er in letzter Zeit trotz seiner Müdigkeit körperlich permanent „unter Strom“ stehe. Er grüble oft stundenlang, z. B. über sein Studium oder über die Zukunft, ohne zu einem Ergebnis zu kommen. Besonders bedrückend finde er des Weiteren, dass er aktuell weder für seine Hobbies (Mountainbiken, Schach) noch für sein Studium Interesse aufbringen könne.  In Ihre differenzialdiagnostischen Überlegungen beziehen Sie auch ein somatisches Syndrom bei einer depressiven Erkrankung mit ein.  Welches der folgenden Symptome passt am wenigsten zu einem somatischen Syndrom bei einer depressiven Erkrankung?",0) psychomotorische Agitiertheit,1) Morgentief,2) Katalepsie,3) Früherwachen,4) Appetitverlust,2
,"Die 2 Jahre alte Daniela wird in der Notaufnahme einer Kinderklinik mit kloßiger Sprache, Speichelfluss, Atemnot, Schluckstörung und einer Körpertemperatur von 40,2 °C vorgestellt. Zudem zeigt sie einen inspiratorischer Stridor.  Welche Krankheit kann die bei Daniela oben beschriebene klinische Symptomatik am ehesten verursachen?",0) Pertussis,1) Tracheitis,2) stenosierende Laryngotracheitis,3) Epiglottitis,4) Bronchiolitis,3
,"Bei einer 58-jährigen Patientin mit dem Verdacht auf einen erhöhten Alkoholkonsum entschließen Sie sich, alkoholassoziierte Laborparameter zu bestimmen.  Welcher der folgenden Laborparameter gehört am wenigsten dazu?",0) γ-GT,1) Kreatinin,2) mittleres Erythrozytenvolumen,3) AST,4) ALT,1
,"Eine 50-jährige Erzieherin klagt über Schlafstörungen. Sie müsse sich ständig Sorgen über verschiedenste Dinge machen, beispielsweise ob ihre 18-jährige Tochter heil vom Schulweg zurückkomme. Von diesen Gedanken werde sie in ständige Anspannung versetzt.  Welche Diagnose kommt am ehesten in Betracht?",0) Panikstörung,1) generalisierte Angststörung,2) soziale Phobie,3) Zwangsstörung,4) posttraumatische Belastungsstörung,1
,"Nach Entlassung aus der stationären Behandlung stellt sich in Ihrer Praxis ein 63-jähriger Mann vor, bei dem wegen einer PAVK 14 Tage zuvor eine Thrombendarteriektomie der A. femoralis communis und der A. profunda femoris mit boviner Perikardpatchplastik in der linken Leiste durchgeführt worden war.  Bei dem Patch handelt es sich um ein",0) autologes Transplantat,1) allogenes Transplantat,2) xenogenes Transplantat,3) alloplastisches Implantat,4) syngenes Implantat,2
,"Eine 56-jährige Frau arbeitet seit mehr als 20 Jahren in einem Zoofachgeschäft, das u. a. mit Nagetieren, Vögeln und Fischen handelt. Wegen eines sich nicht bessernden trockenen Reizhustens kommt sie in Ihre Praxis für Allgemeinmedizin. Sie gibt eine nur leicht erhöhte Körpertemperatur an.  Bei der klinischen Untersuchung ergeben die Perkussion und Auskultation keinen klaren pathologischen Befund. Abgesehen von einer stationär vorgenommenen Cholezystektomie 4 Monate zuvor bleibt die weitere Anamnese unauffällig.  Sie vermuten eine Pneumonie.  Um welche Form der Pneumonie handelt es sich bei dieser Patientin am ehesten?",0) ambulant erworbene bronchoalveoläre Pneumonie,1) ambulant erworbene interstitielle Pneumonie,2) nosokomiale bronchoalveoläre Pneumonie,3) nosokomiale interstitielle Pneumonie,4) sekundäre Pneumonie (Retentionspneumonie),1
,"Eine 25-jährige Patientin berichtet über eine rezidivierende schmerzhafte Weißfärbung der Fingerendglieder, welche über ca. 1 Stunde anhalte und bei Wärmezufuhr wieder schwinde. Sie habe diese Symptome jetzt über mehrere Wochen etwa 1- bis 2-mal täglich, besonders wenn sie draußen sei. Die Patientin schildert darüber hinaus keine weiteren Beschwerden.  Welcher der folgenden Arzneistoffe könnte die Symptomatik am wahrscheinlichsten günstig beeinflussen?",0) Acetylsalicylsäure,1) Amlodipin,2) Bisoprolol,3) Prednisolon,4) Rivaroxaban,1
,Ein 45-jähriger Patient wird Ihnen zur Herzkatheter-Untersuchung zugewiesen.  Bei ihm ist eine Kontrastmittelintoleranzreaktion bekannt.  Die Gabe welches der genannten Arzneistoffe ist am ehesten Teil des weiteren Vorgehens?  Eine Prämedikation mit einem Arzneistoff aus der Gruppe der,0) AT1R-Antagonisten,1) β1AR-Antagonisten,2) H1R-Antagonisten,3) 5-HT3R-Antagonisten,4) PPIs,2
,"Eine 82-jährige Frau berichtet ihrer Enkelin, die Humanmedizin studiert, dass sie schon seit mindestens 5 Jahren gemäß ärztlicher Verordnung ein Augenmedikament regelmäßig 1-mal täglich an beiden Augen appliziert.  Die im Ausland lebende Tante der Studentin soll dieselbe therapiepflichtige Augenerkrankung haben. Der Vater der alten Dame sei daran im höheren Alter beidseits vollständig erblindet.  Aus der Fallbeschreibung ergibt sich am ehesten welche der folgenden Verdachtsdiagnosen?",0) altersabhängige Makuladegeneration,1) ausgeprägtes Sicca-Syndrom,2) nichtarteriitische anteriore ischämische Optikusneuropathie (NAION),3) primäres Offenwinkelglaukom,4) senile Kernkatarakt,3
,"Eine 32-jährige Frau stellt sich in der 27. Schwangerschaftswoche wegen schmerzhafter Missempfindungen im Bereich der rechten Hand in der Hausarztpraxis vor.  Zunehmend sei auch der Unterarm von den Schmerzen betroffen, die vorwiegend nachts aus dem Schlaf heraus aufträten. Ausschütteln der Hand helfe dagegen.  Die neurologische Untersuchung zeigt eine normale Funktion der Hirnnerven und seitengleiche, lebhafte Muskeleigenreflexe. Es findet sich eine leichte Parese der Daumenabduktion rechts.  Welches ist die wahrscheinlichste Diagnose?",0) Myelitis als 1. Schub einer Multiplen Sklerose,1) radikuläres Syndrom C6,2) Entzündung des Plexus brachialis,3) Interosseus-anterior-Syndrom,4) Karpaltunnelsyndrom,4
,"Sie betreuen eine 81-jährige Patientin, die in häuslicher Umgebung alleine noch einigermaßen gut zurechtkommt. Sie hat eine kompensierte Herzinsuffizienz, eine Hypertonie, Vorhofflimmern, einen Diabetes mellitus Typ 2 und eine beidseitige Koxarthrose.  Wegen eines Sturzes in der häuslichen Umgebung war sie jetzt für ein paar Tage im Krankenhaus. Während des stationären Aufenthaltes erfolgte auch eine internistische Abklärung bei der Patientin. Sie hat multiple Prellungen davongetragen, aber es lagen keine Frakturen oder akuten Erkrankungen vor.  Bei einem Hausbesuch machen Sie sich Sorgen, dass die Alltagskompetenz Ihrer Patientin zunehmend eingeschränkt sein könnte.  Welche der folgenden diagnostischen Maßnahmen hat/haben in dieser Situation in Bezug auf die Alltagskompetenz die geringste Aussagekraft?",0) Wells-Score-Bestimmungen,1) Timed-Up-and-Go-Test,2) Uhrentest nach Shulman,3) Mini-Mental-Status-Test,4) orientierende Visusprüfung und Perimetrie,0
,"Bei dem 8-jährigen Peter beobachtet die Mutter seit einiger Zeit eine zunehmende Teilnahmslosigkeit. Nun wurden noch massive, repetitive Myoklonien und Krampfanfälle festgestellt.  Die Mutter berichtet in der Ambulanz einer Kinderklinik, dass Peter seit seinem 6. Lebensmonat halbtags in einer „Kinderkrippe“ betreut wurde, dass er jedoch bis zu seinem 3. Lebensjahr aufgrund von Erkrankungen häufig dennoch zuhause bleiben musste. Neben den „typischen Kinderkrankheiten mit Ausschlag“ habe er unter anderem häufig Mittelohrentzündungen gehabt, die teilweise antibiotisch behandelt werden mussten. Nach dem Wechsel in die „Kindergartengruppe“ sei dies deutlich besser geworden, und Peter habe sich gut entwickelt. Seit 2 bis 3 Monaten habe sie aber eine Veränderung bei ihm festgestellt, die sie zunächst auf die höheren schulischen Anforderungen in der 2. Klasse zurückgeführt habe. Auf Nachfrage antwortet die Mutter, dass Peter nur gegen Tetanus und Diphtherie geimpft sei.  Welche der folgenden Infektionskrankheiten liegt der beschriebenen Symptomatik als Spätkomplikation am ehesten zugrunde?",0) Poliomyelitis,1) Masern,2) Mumps,3) Varizellen,4) Pertussis,1
,"Eine 85-jährige Frau wird vom Ehemann im Bad liegend aufgefunden. Sie war kurz bewusstlos und ist jetzt wieder ansprechbar. Sie hat sich nach eigenem Bekunden nicht verletzt und kann alle 4 Extremitäten normal bewegen. Der Ehemann ist beunruhigt und ruft den Notarzt.  Aus der Vorgeschichte sind eine arterielle Hypertonie und eine hochgradige Aortenklappenstenose bekannt. Darüber hinaus leidet die Patientin unter einer COPD bei früher langjährigem Nikotinabusus (40 Packungsjahre), und es ist eine leichtgradige Stenose der A. carotis interna links bekannt.  Was ist nach den bisher bekannten Vorerkrankungen und Befunden am ehesten die Ursache der Synkope?",0) COPD,1) arterielle Hypertonie,2) Schlaganfall,3) Aortenklappenstenose,4) Karotisstenose,3
,"Sie sind als Chirurg/Chirurgin niedergelassen und werden von einem 20-jährigen Mann aufgesucht, der eine blutende Durchschussverletzung am rechten Oberschenkel dicht oberhalb des Kniegelenks hat. Entsprechend den herrschenden sommerlichen Temperaturen ist der Patient mit Sportschuhen, kurzer Hose und T-Shirt bekleidet.  Sie können durch eine Röntgenuntersuchung eine Fraktur ausschließen. Auch gibt es keine Anhaltspunkte für eine Verletzung größerer Nerven oder Blutgefäße. Der Patient ist gering alkoholisiert, aber ansprechbar und vollständig orientiert.  Welcher der folgenden Befunde spräche, falls vorhanden, am ehesten für einen Einschuss?",0) Schmauch an der Hauteröffnung,1) größerer Durchmesser als die gegenüberliegende Hauteröffnung,2) ovale Hauteröffnung,3) trichterförmige Hauteröffnung,4) schlitzförmige Hauteröffnung,0
,"Ihnen wird als Aufnahmearzt in einer Akutklinik für Psychiatrie ein 54-jähriger Mann mit dem Notarztwagen gebracht.  Es ist zu erfahren, dass er von Passanten auf freier Strecke reglos mit dem Kopf direkt an den Bahngleisen liegend gefunden worden sei. Die Passanten hätten aus Sorge, er könne sich vor einen Zug werfen, die Polizei alarmiert. Die Polizisten hätten den Mann von den Bahngleisen weggezogen und den Notarzt herbeigerufen.  Der Mann habe sich ohne Widerstand auf eine Trage legen und sich mit dem Notarztwagen in die nächstgelegene Klinik für Psychiatrie transportieren lassen. Er habe auf der Fahrt nicht gesprochen und reagiere auf Ansprache kaum. Name und Geburtsdatum seien aus dem bei ihm gefundenen Personalausweis bekannt.  Welche der folgenden Diagnosen ist aus den bis dahin bekannten Informationen am wahrscheinlichsten?",0) depressiver Stupor,1) selektiver Mutismus,2) larvierte Depression,3) mittelgradige Demenz,4) akute Heroinintoxikation,0
,"Als Teilnehmerin eines internistischen Kongresses hören Sie sich einen Vortrag zur aktuellen Entwicklung der Behandlung von Diabetes an, wobei auch über die nationale Versorgungsleitlinie Diabetes berichtet wird. Da Sie in Ihrer Praxis viele Patient(inn)en mit Diabetes haben, laden Sie sich, wieder zuhause, die Versorgungsleitlinie aus dem Internet herunter.  Dort lesen Sie zur Therapie mit dem Wirkstoff Dapagliflozin: „In der DAPA-HF-Studie wurden insgesamt 4744 Teilnehmende mit LVEF ≤ 40 % und NYHA II-IV zu 10 mg Dapagliflozin oder Plazebo randomisiert. (...) Nach einer medianen Beobachtungszeit von 18 Monaten wurde der primäre kombinierte Endpunkt – kardiovaskuläre Todesfälle, Hospitalisierung aufgrund von Herzinsuffizienz oder Notaufnahme-Besuch wegen Herzinsuffizienz – in der Gesamtpopulation mit 16,3 % vs. 21,2 % erreicht (HR 0,74 (95-%-KI 0,65; 0,85)“ [d. h. 95-%-Konfidenzintervall 0,65 bis 0,85]).  Welche Interpretation dieses Ergebnisses trifft am ehesten zu?",0) Das Risiko für den Eintritt des kombinierten Endpunkts wird durch das Medikament um 74 % erniedrigt.,1) Die „number needed to treat“ (NNT) beträgt etwa 30.,2) Die absolute Risikodifferenz beträgt 20 Prozentpunkte.,3) Die angegebene „hazard ratio“ (HR) ist statistisch gesehen nicht signifikant.,4) Die relative Risikoreduktion lässt sich mit 26 % bestimmen.,4
,"Die Eltern des 8 Wochen alten Joël stellen ihren Säugling in der Kindernotaufnahme einer Klinik vor.  Sie berichten, das Kind nehme nicht mehr an Gewicht zu. Seit 3 Wochen bestehe ein rezidivierendes Erbrechen, seit 2 Tagen erfolge das Erbrechen im Strahl. Auf Nachfrage schließen die Eltern ein gelblich-galliges Erbrechen aus.  Bei der klinischen Untersuchung fällt dem Arzt im Oberbauch eine Art „Walze“ auf.  Welche der genannten Diagnosen liegt aufgrund der geschilderten Symptomatik und der erhobenen Befunde am ehesten vor?",0) Pancreas anulare,1) Duodenalatresie,2) hypertrophe Pylorusstenose,3) (Darm-)Invagination,4) nekrotisierende Enterokolitis,2
,"Ein 55-jähriger Mann, der seit seiner Jugend Brillenträger ist, kommt zu seinem Augenarzt wegen langsam zunehmender Sehstörungen beim Lesen, die bei schlechter Beleuchtung stärker ausfallen. Ohne seine Brille könne er hingegen mit beiden Augen in der Nähe scharf sehen, könne z. B. lesen und habe auch räumliche Wahrnehmung.  Die Symptomatik ist am wahrscheinlichsten bedingt durch",0) eine ausgeprägte Aniseikonie,1) eine erhebliche Hyper(metr)opie,2) eine innere Okulomotoriuslähmung mit Anisokorie,3) eine Myopie und unkorrigierte Presbyopie,4) einen hyper(metr)open Astigmatismus,3
"Sie behandeln auf Ihrer neurochirurgischen Intensivstation einen 53-jährigen Patienten nach einem schweren Schädel-Hirn-Trauma mit intrazerebralen Kontusionsblutungen. Der Patient entwickelt ein delirantes Zustandsbild, zieht sich wiederholt intravenöse Zugänge und wird gegenüber der Pflege aggressiv, indem er wild um sich schlägt. Außerdem scheint er massiv akustisch zu halluzinieren, da er mit nicht anwesenden Personen spricht. Sie entscheiden sich deshalb für einen Behandlungsversuch mit einer antipsychotischen Medikation.","Welches Medikament ist in dieser Situation am ehesten geeignet, die psychotische Symptomatik gut abzumildern, möglichst wenig Wechselwirkungen mit der übrigen komplexen Medikation zu bewirken und die Vigilanz weiterhin gut überwachen zu können?",0) Risperidon,1) Clozapin,2) Lithium,3) Promethazin,4) Mirtazapin,0
"Sie behandeln auf Ihrer neurochirurgischen Intensivstation einen 53-jährigen Patienten nach einem schweren Schädel-Hirn-Trauma mit intrazerebralen Kontusionsblutungen. Der Patient entwickelt ein delirantes Zustandsbild, zieht sich wiederholt intravenöse Zugänge und wird gegenüber der Pflege aggressiv, indem er wild um sich schlägt. Außerdem scheint er massiv akustisch zu halluzinieren, da er mit nicht anwesenden Personen spricht. Sie entscheiden sich deshalb für einen Behandlungsversuch mit einer antipsychotischen Medikation.","Trotz Einleitung einer antipsychotischen Pharmakotherapie ist der Patient motorisch immer noch so unruhig, dass Sie sich entschließen, ihn mit einer 5-Punkt-Fixierung am Aufstehen und Herausreißen der Infusionen zu hindern.  Aufgrund des bisherigen Verlaufs und Ihrer Erfahrung ist zu erwarten, dass die Fixierung zumindest für die kommenden Stunden notwendig sein wird.  Welches weitere Vorgehen ist am ehesten angezeigt?",0) Genehmigung der Fixierung durch das Amtsgericht,1) Genehmigung der Fixierung durch die Klinikleitung,2) Genehmigung der Fixierung durch die zuständige Polizeidienststelle,3) Genehmigung der Fixierung durch die Staatsanwaltschaft,4) Fixierung im vorliegenden Fall ohne Genehmigung,0
"Sie behandeln auf Ihrer neurochirurgischen Intensivstation einen 53-jährigen Patienten nach einem schweren Schädel-Hirn-Trauma mit intrazerebralen Kontusionsblutungen. Der Patient entwickelt ein delirantes Zustandsbild, zieht sich wiederholt intravenöse Zugänge und wird gegenüber der Pflege aggressiv, indem er wild um sich schlägt. Außerdem scheint er massiv akustisch zu halluzinieren, da er mit nicht anwesenden Personen spricht. Sie entscheiden sich deshalb für einen Behandlungsversuch mit einer antipsychotischen Medikation.",Welche zusätzliche Maßnahme erscheint in der geschilderten Delirbehandlung am wenigsten sinnvoll?,0) Begleitperson aus der Familie hinzuziehen,1) enge pflegerische Betreuung anordnen,2) möglichst ruhige Umgebung schaffen,3) vertraute Gegenstände auf den Nachttisch stellen,4) mit Amitriptylin sedieren,4
